tweet_id,user_id,time_stamp,text,retweet_count,favorite_count
620608265953648641,2746104937,1436799515,"#PersonalVictory I was at the grocery store and didn't even want a donut,  cake, cookies,  etc. Seems my sugar addiction is fading fast!",0,0
620089457765584896,2950708157,1436675822,"Sh*t night at home, but I still managed to stay on track of my healthier life style and didn't #bingeeat <3 #personalvictory #battlingdemons",0,0
619576854622552065,115852216,1436553607,Crossing things off of your to-do list that have been there for longer than a day. #personalvictory #winning #agencylife #TGIF #OCD,0,1
618255639932981248,17743037,1436238605,"At said new-to-me gym, I managed a 12:30 min mile. #PersonalVictory",0,0
618226015689678848,2653394383,1436231542,"Nah. He may think they're attractive, but he'd be coming home to that sweet booty every night #PersonalVictory https://twitter.com/PipingHotMess/status/618220936005730304 …",2,1
616081531996471296,484299758,1435720258,When you finally find cheap protein that doesn't taste like your gym shoes smell>> #personalvictory,0,5
615648713302642688,2931477039,1435617066,"Mom: ""You're the best, I love being adults with you."" #PersonalVictory",0,6
615478040311799812,344019920,1435576374,Thanks to @Flyteness1 spinach tasted real good and didn't look like something the cat regurgitated. #PersonalVictory.,0,0
614508555928932352,22846508,1435345231,"This afternoon @TimHannafin and I are getting tandem haircuts, which means I'll have SO MUCH INPUT. #personalvictory",0,0
613733670457839618,14816132,1435160484,Totally intruded on this dude's manspread on the red line today. #personalvictory,0,0
613357205610463232,408241717,1435070728,Give me a task. Give me a time frame. BAM I'm good. #personalvictory,0,0
613181896856608768,407439209,1435028931,"Oh great as far as I'm concerned we survive another storm. 
#PersonalVictory",0,2
613112156163280896,389244761,1435012303,#personalvictory #swag #swagswagswagswagswagswag #swag #swag,0,1
613001676006428672,486123285,1434985963,I'm thriving with three toddlers!! #personalvictory,0,0
612857337183756289,1549370444,1434951550,"Sunday update from #WAAPA conference: four hours of dance masterclasses, and I did not die.  #PersonalVictory",0,0
612805931055886336,565915734,1434939294,"Playing from my laptop, like a champ. #PersonalVictory https://instagram.com/p/4NtvN8sYKh/ ",0,0
611791207589490689,39212789,1434697365,"*thinks of clicking rainy pic from window for twitter* 
*doesn't do it* 
#personalvictory",0,0
611447469860237312,3168009751,1434615411,It's the little things that matter. #personalvictory,0,2
611021168322158592,2208213149,1434513773,S/o to @KingJames for literally carrying the cavs. #personalvictory,0,1
610079547724312576,247336587,1434289273,It's Sunday morning and I just woke up. I can't remember the last time I slept in like this. Yay me!  #personalvictory #randomthought,0,0
609902771387674624,17569065,1434247126,My grandma just told me she saw on Fox News that ISIS orchestrated Ferguson and I just nodded my head politely. #personalvictory,0,0
609898194374406144,451794452,1434246035,2nd day ever wake boarding and actually stayed up for a bit #personalvictory https://instagram.com/p/35Dc8zSjmn/ ,0,0
608994021797601280,43464556,1434030464,I actually like what I see in the mirror today. YUS. #personalvictory,0,23
608393391488024576,21961093,1433887262,"I finally have decent health insurance again! #PersonalVictory In other news, it definitely feels like a #LFK #TacoTuesday kinda night.",0,0
608010841057841152,455394859,1433796055,Today I stopped coughing for exactly 5 minutes #yay #personalvictory,0,0
607749303118008320,2475624499,1433733699,White People are relevant in the NBA again #PersonalVictory,0,0
607315793798418432,3097166546,1433630343,"Yay #PersonalVictory . Empire State building has 86 flights of stairs and 1,576 stairs. And I did… https://instagram.com/p/3mtHNpHpSR/ ",0,0
604283846415155200,3016238743,1432907470,"Just one shotted the fitted sheet onto the bed, didn't even check which was the long side! #itsthesmallthings #personalvictory",0,0
604227656423317504,448268231,1432894073,Forgot I had a 5 page paper due tomorrow for a summer class. Wrote it in 3.5 hours AND it's 6 pages #personalvictory #bedtime,0,1
603891829201891328,30715394,1432814006,#personalvictory it's Thursday and I've only used a quarter tank of gas!!!,0,1
603221140807393280,21915542,1432654101,I already have all the nail colours I need to match this. #personalvictory https://twitter.com/stewarthaasrcng/status/603214263189114881 …,0,0
601901661720805376,615730731,1432339513,"Yesssss!!!!!!!!! #PointlessTweet #VideoEditing #PersonalVictory XD
Premiere Pro, I will vainquish you... at some point... maybe",0,1
601647423774162944,716757314,1432278898,Biggest challenge of the day was to pee in the cup and not get anything on my hands.I did it!#personalvictory #WADA #antidoping #cleansport,0,2
